id     identifier                                          splitted_identifier                                 lemma                                               postag                FK_dtid  FK_mid
8402   out                                                 out                                                 out                                                 IN                    658      3986  
8403   in                                                  in                                                  in                                                  IN                    657      3984  
8404   out                                                 out                                                 out                                                 IN                    658      3986  
8405   obj                                                 obj                                                 obj                                                 NN                    2        1     
8406   in                                                  in                                                  in                                                  IN                    657      3984  
8407   out                                                 out                                                 out                                                 IN                    658      3986  
8408   obj                                                 obj                                                 obj                                                 NN                    2        1     
8409   in                                                  in                                                  in                                                  IN                    657      3984  
8410   escalated                                           escalated                                           escalate                                            VBN                   507      5907  
8411   out                                                 out                                                 out                                                 IN                    658      3986  
8412   obj                                                 obj                                                 obj                                                 NN                    2        1     
8413   in                                                  in                                                  in                                                  IN                    657      3984  
8414   out                                                 out                                                 out                                                 IN                    658      3986  
8415   obj                                                 obj                                                 obj                                                 NN                    2        1     
8416   in                                                  in                                                  in                                                  IN                    657      3984  
8417   out                                                 out                                                 out                                                 IN                    658      3986  
8418   obj                                                 obj                                                 obj                                                 NN                    2        1     
8419   in                                                  in                                                  in                                                  IN                    657      3984  
8420   out                                                 out                                                 out                                                 IN                    658      3986  
8421   obj                                                 obj                                                 obj                                                 NN                    2        1     
8422   in                                                  in                                                  in                                                  IN                    657      3984  
8423   emailHeaders                                        email headers                                       email header                                        NN NNS                958      5909  
8424   out                                                 out                                                 out                                                 IN                    658      3986  
8425   obj                                                 obj                                                 obj                                                 NN                    2        1     
8426   in                                                  in                                                  in                                                  IN                    657      3984  
8427   out                                                 out                                                 out                                                 IN                    658      3986  
8428   in                                                  in                                                  in                                                  IN                    657      3984  
8429   out                                                 out                                                 out                                                 IN                    658      3986  
8430   in                                                  in                                                  in                                                  IN                    657      3984  
8431   out                                                 out                                                 out                                                 IN                    658      3986  
8432   obj                                                 obj                                                 obj                                                 NN                    2        1     
8433   list                                                list                                                list                                                NN                    959      5910  
8434   prefferedLanguage                                   preffered language                                  preffered language                                  JJ NN                 4        5910  
8435   defaultLanguage                                     default language                                    default language                                    NN NN                 4        5910  
8436   in                                                  in                                                  in                                                  IN                    657      3984  
8437   text                                                text                                                text                                                NN                    4        5911  
8438   out                                                 out                                                 out                                                 IN                    658      3986  
8439   obj                                                 obj                                                 obj                                                 NN                    2        1     
8440   obj                                                 obj                                                 obj                                                 NN                    2        1     
8441   in                                                  in                                                  in                                                  IN                    657      3984  
8442   out                                                 out                                                 out                                                 IN                    658      3986  
8443   obj                                                 obj                                                 obj                                                 NN                    2        1     
8444   in                                                  in                                                  in                                                  IN                    657      3984  
8445   out                                                 out                                                 out                                                 IN                    658      3986  
8446   obj                                                 obj                                                 obj                                                 NN                    2        1     
8447   orgEntList                                          org ent list                                        org ent list                                        NN NN NN              579      5912  
8448   in                                                  in                                                  in                                                  IN                    657      3984  
8449   businessAdministrators                              business administrators                             business administrator                              NN NNS                579      5406  
8450   excludedOwners                                      excluded owners                                     exclude owner                                       VBN NNS               579      5407  
8451   potentialOwners                                     potential owners                                    potential owner                                     JJ NNS                579      5128  
8452   recipients                                          recipients                                          recipient                                           NNS                   579      5408  
8453   taskInitiator                                       task initiator                                      task initiator                                      NN NN                 848      5409  
8454   taskStakeholders                                    task stakeholders                                   task stakeholder                                    NN NNS                579      5410  
8455   out                                                 out                                                 out                                                 IN                    658      3986  
8456   obj                                                 obj                                                 obj                                                 NN                    2        1     
8457   in                                                  in                                                  in                                                  IN                    657      3984  
8458   out                                                 out                                                 out                                                 IN                    658      3986  
8459   obj                                                 obj                                                 obj                                                 NN                    2        1     
8460   group                                               group                                               group                                               NN                    859      5913  
8461   user                                                user                                                user                                                NN                    848      5914  
8462   attachmentId                                        attachment id                                       attachment id                                       NN NN                 20       5915  
8463   commentId                                           comment id                                          comment id                                          NN NN                 20       5916  
8464   attachment                                          attachment                                          attachment                                          NN                    842      5918  
8465   comment                                             comment                                             comment                                             NN                    844      5919  
8466   in                                                  in                                                  in                                                  IN                    657      3984  
8467   actualOwner                                         actual owner                                        actual owner                                        JJ NN                 848      5920  
8468   createdBy                                           created by                                          create by                                           VBN IN                848      5921  
8469   documentID                                          document id                                         document id                                         NN NN                 20       5922  
8470   documentConentData                                  document conent data                                document conent datum                               NN JJ NNS             900      5922  
8471   faultContentId                                      fault content id                                    fault content id                                    NN NN NN              20       5923  
8472   faultData                                           fault data                                          fault datum                                         NN NNS                906      5923  
8473   outputContentId                                     output content id                                   output content id                                   NN NN NN              20       5924  
8474   outputContentData                                   output content data                                 output content datum                                NN NN NNS             900      5924  
8475   status                                              status                                              status                                              NN                    510      5925  
8476   out                                                 out                                                 out                                                 IN                    658      3986  
8477   in                                                  in                                                  in                                                  IN                    657      3984  
8478   out                                                 out                                                 out                                                 IN                    658      3986  
8479   obj                                                 obj                                                 obj                                                 NN                    2        1     
8480   in                                                  in                                                  in                                                  IN                    657      3984  
8481   archived                                            archived                                            archive                                             VBN                   507      5926  
8482   deadlines                                           deadlines                                           deadline                                            NNS                   883      5927  
8483   delegation                                          delegation                                          delegation                                          NN                    917      5928  
8484   peopleAssignments                                   people assignments                                  people assignment                                   NNS NNS               962      5929  
8485   taskData                                            task data                                           task datum                                          NN NNS                850      5930  
8486   out                                                 out                                                 out                                                 IN                    658      3986  
8487   in                                                  in                                                  in                                                  IN                    657      3984  
8488   out                                                 out                                                 out                                                 IN                    658      3986  
8489   query                                               query                                               query                                               NN                    963      5931  
8490   builder                                             builder                                             builder                                             NN                    125      5931  
8491   queryType                                           query type                                          query type                                          NN NN                 129      5931  
8492   criteria                                            criteria                                            criterion                                           NNS                   126      5931  
8493   queryWhere                                          query where                                         query where                                         NN WRB                130      5931  
8494   returnClass                                         return class                                        return class                                        NN NN                 144      5932  
8495   queryWhere                                          query where                                         query where                                         NN WRB                130      5933  
8496   criteriaQuery                                       criteria query                                      criterion query                                     NNS VBP               964      5933  
8497   builder                                             builder                                             builder                                             NN                    125      5933  
8498   em                                                  em                                                  em                                                  NN                    133      1740  
8499   em                                                  em                                                  em                                                  NN                    133      1743  
8500   transaction                                         transaction                                         transaction                                         NN                    2        1743  
8501   id                                                  id                                                  id                                                  NN                    4        5938  
8502   id                                                  id                                                  id                                                  NN                    4        5946  
8503   entityClass                                         entity class                                        entity class                                        NN NN                 144      5961  
8504   primaryKey                                          primary key                                         primary key                                         JJ NN                 2        5961  
8505   entity                                              entity                                              entity                                              NN                    26       5962  
8506   object                                              object                                              object                                              NN                    26       5963  
8507   queryName                                           query name                                          query name                                          NN NN                 4        5964  
8508   params                                              params                                              param                                               NNS                   119      5964  
8509   singleResult                                        single result                                       single result                                       JJ NN                 1        5964  
8510   clazz                                               clazz                                               clazz                                               NN                    144      5964  
8511   queryName                                           query name                                          query name                                          NN NN                 4        5965  
8512   params                                              params                                              param                                               NNS                   119      5965  
8513   singleResult                                        single result                                       single result                                       JJ NN                 1        5965  
8514   clazz                                               clazz                                               clazz                                               NN                    144      5965  
8515   queryName                                           query name                                          query name                                          NN NN                 4        5966  
8516   clazz                                               clazz                                               clazz                                               NN                    144      5966  
8517   queryString                                         query string                                        query string                                        NN NN                 4        5967  
8518   clazz                                               clazz                                               clazz                                               NN                    144      5967  
8519   params                                              params                                              param                                               NNS                   119      5968  
8520   singleResult                                        single result                                       single result                                       JJ NN                 1        5968  
8521   lockMode                                            lock mode                                           lock mode                                           JJ NN                 972      5968  
8522   clazz                                               clazz                                               clazz                                               NN                    144      5968  
8523   query                                               query                                               query                                               NN                    163      5968  
8524   queryString                                         query string                                        query string                                        NN NN                 4        5969  
8525   singleResult                                        single result                                       single result                                       JJ NN                 1        5969  
8526   params                                              params                                              param                                               NNS                   119      5969  
8527   clazz                                               clazz                                               clazz                                               NN                    144      5969  
8528   queryString                                         query string                                        query string                                        NN NN                 4        5970  
8529   params                                              params                                              param                                               NNS                   119      5970  
8530   clazz                                               clazz                                               clazz                                               NN                    144      5970  
8531   queryName                                           query name                                          query name                                          NN NN                 4        5971  
8532   singleResult                                        single result                                       single result                                       JJ NN                 1        5971  
8533   params                                              params                                              param                                               NNS                   119      5971  
8534   clazz                                               clazz                                               clazz                                               NN                    144      5971  
8535   queryName                                           query name                                          query name                                          NN NN                 4        5972  
8536   params                                              params                                              param                                               NNS                   119      5972  
8537   clazz                                               clazz                                               clazz                                               NN                    144      5972  
8538   entity                                              entity                                              entity                                              NN                    26       5973  
8539   updateString                                        update string                                       update string                                       VB NN                 4        5974  
8540   contentId                                           content id                                          content id                                          JJ NN                 174      5975  
8541   object                                              object                                              object                                              NN                    2        5976  
8542   annotation                                          annotation                                          annotation                                          NN                    973      5976  
8543   parameterValues                                     parameter values                                    parameter value                                     NN NNS                940      5977  
8544   userId                                              user id                                             user id                                             NN NN                 4        5978  
8545   userGroupCallback                                   user group callback                                 user group callback                                 NN NN NN              870      5978  
8546   queryWhere                                          query where                                         query where                                         NN WRB                2        5978  
8547   queryName                                           query name                                          query name                                          NN NN                 4        5979  
8548   params                                              params                                              param                                               NNS                   119      5979  
8549   attachmentId                                        attachment id                                       attachment id                                       NN NN                 174      5980  
8550   attachment                                          attachment                                          attachment                                          NN                    842      5981  
8551   attachment                                          attachment                                          attachment                                          NN                    842      5982  
8552   attachment                                          attachment                                          attachment                                          NN                    842      5983  
8553   commentId                                           comment id                                          comment id                                          NN NN                 174      5984  
8554   comment                                             comment                                             comment                                             NN                    844      5985  
8555   comment                                             comment                                             comment                                             NN                    844      5986  
8556   comment                                             comment                                             comment                                             NN                    844      5987  
8557   contentId                                           content id                                          content id                                          JJ NN                 174      5988  
8558   content                                             content                                             content                                             NN                    843      5989  
8559   content                                             content                                             content                                             NN                    843      5990  
8560   content                                             content                                             content                                             NN                    843      5991  
8561   groupId                                             group id                                            group id                                            NN NN                 4        5992  
8562   group                                               group                                               group                                               NN                    859      5993  
8563   group                                               group                                               group                                               NN                    859      5994  
8564   group                                               group                                               group                                               NN                    859      5995  
8565   orgEntityId                                         org entity id                                       org entity id                                       NN NN NN              4        5996  
8566   orgEntity                                           org entity                                          org entity                                          RB NN                 491      5997  
8567   orgEntity                                           org entity                                          org entity                                          RB NN                 491      5998  
8568   orgEntity                                           org entity                                          org entity                                          RB NN                 491      5999  
8569   taskId                                              task id                                             task id                                             NN NN                 174      6000  
8570   task                                                task                                                task                                                NN                    568      6001  
8571   task                                                task                                                task                                                NN                    568      6002  
8572   task                                                task                                                task                                                NN                    568      6003  
8573   userId                                              user id                                             user id                                             NN NN                 4        6004  
8574   user                                                user                                                user                                                NN                    848      6005  
8575   user                                                user                                                user                                                NN                    848      6006  
8576   user                                                user                                                user                                                NN                    848      6007  
8577   deadlineId                                          deadline id                                         deadline id                                         NN NN                 174      6008  
8578   deadline                                            deadline                                            deadline                                            NN                    966      6009  
8579   deadline                                            deadline                                            deadline                                            NN                    966      6010  
8580   deadline                                            deadline                                            deadline                                            NN                    966      6011  
8581   persistenceContext                                  persistence context                                 persistence context                                 NN NN                 813      6015  
8582   persistenceContext                                  persistence context                                 persistence context                                 NN NN                 813      6016  
8583   orderBy                                             order by                                            order by                                            NN IN                 4        6018  
8584   buf                                                 buf                                                 buf                                                 NN                    50       6019  
8585   params                                              params                                              param                                               NNS                   119      6019  
8586   name                                                name                                                name                                                NN                    4        6020  
8587   params                                              params                                              param                                               NNS                   119      6020  
8588   ormFile                                             orm file                                            orm file                                            NN NN                 4        6022  
8589   ormFile                                             orm file                                            orm file                                            NN NN                 4        6023  
8590   grandparentJoin                                     grandparent join                                    grandparent join                                    NN VB                 978      6024  
8591   parentJoinAttr                                      parent join attr                                    parent join attr                                    NN VB NN              979      6024  
8592   fieldAttr                                           field attr                                          field attr                                          NN NN                 980      6024  
8593   query                                               query                                               query                                               NN                    981      6025  
8594   builder                                             builder                                             builder                                             NN                    125      6025  
8595   criteria                                            criteria                                            criterion                                           NNS                   126      6025  
8596   queryWhere                                          query where                                         query where                                         NN WRB                130      6025  
8597   query                                               query                                               query                                               NN                    963      5931  
8598   builder                                             builder                                             builder                                             NN                    125      5931  
8599   queryType                                           query type                                          query type                                          NN NN                 129      5931  
8600   criteria                                            criteria                                            criterion                                           NNS                   126      5931  
8601   queryWhere                                          query where                                         query where                                         NN WRB                130      5931  
8602   query                                               query                                               query                                               NN                    963      6026  
8603   queryType                                           query type                                          query type                                          NN NN                 144      6026  
8604   orderByListId                                       order by list id                                    order by list id                                    NN IN NN NN           4        6026  
8605   query                                               query                                               query                                               NN                    964      6027  
8606   listId                                              list id                                             list id                                             NN NN                 4        6027  
8607   attr                                                attr                                                attr                                                NN                    949      6027  
8608   query                                               query                                               query                                               NN                    964      6028  
8609   taskRoot                                            task root                                           task root                                           NN NN                 982      6028  
8610   taskDataJoin                                        task data join                                      task datum join                                     NN NNS VBP            983      6028  
8611   peopleAssignJoin                                    people assign join                                  people assign join                                  NNS VBP VB            984      6028  
8612   listId                                              list id                                             list id                                             NN NN                 4        6028  
8613   attr                                                attr                                                attr                                                NN                    949      6028  
8614   criteria                                            criteria                                            criterion                                           NNS                   126      6029  
8615   criteriaQuery                                       criteria query                                      criterion query                                     NNS VBP               964      6029  
8616   builder                                             builder                                             builder                                             NN                    125      6029  
8617   criteriaQuery                                       criteria query                                      criterion query                                     NNS VBP               964      6030  
8618   userAndGroupIds                                     user and group ids                                  user and group id                                   NN CC NN NNS          101      6031  
8619   criteriaList                                        criteria list                                       criterion list                                      NNS NN                825      6031  
8620   peopleAssignJoin                                    people assign join                                  people assign join                                  NNS VBP VB            984      6032  
8621   userId                                              user id                                             user id                                             NN NN                 4        6033  
8622   userGroupCallback                                   user group callback                                 user group callback                                 NN NN NN              870      6033  
8623   queryWhere                                          query where                                         query where                                         NN WRB                130      6033  
8624   queryWhere                                          query where                                         query where                                         NN WRB                130      6034  
8625   userId                                              user id                                             user id                                             NN NN                 4        6034  
