id     signature                                                                                             identifier                                                                                            splitted_identifier                                                                                   lemma                                               posta  FK_dt
3627   void testAbortProcessInstance()                                                                       testAbortProcessInstance                                                                              test abort process instance                                                                           test abort process instance                         NN NN  15   
3628   void testUpgradeProcessInstance()                                                                     testUpgradeProcessInstance                                                                            test upgrade process instance                                                                         test upgrade process instance                       NN NN  15   
3629   void testUpgradeProcessInstanceWithNodeMapping()                                                      testUpgradeProcessInstanceWithNodeMapping                                                             test upgrade process instance with node mapping                                                       test upgrade process instance with node mapping     NN NN  15   
3630   void testUpgradeProcessInstances()                                                                    testUpgradeProcessInstances                                                                           test upgrade process instances                                                                        test upgrade process instance                       NN NN  15   
3631   void testUpgradeProcessInstancesWithNodeMapping()                                                     testUpgradeProcessInstancesWithNodeMapping                                                            test upgrade process instances with node mapping                                                      test upgrade process instance with node mapping     NN NN  15   
3632   void testSignalProcessInstance()                                                                      testSignalProcessInstance                                                                             test signal process instance                                                                          test signal process instance                        NN NN  15   
3633   void testExecuteStartProcessCommand()                                                                 testExecuteStartProcessCommand                                                                        test execute start process command                                                                    test execute start process command                  NN VB  15   
3634   void testStartScriptTaskProcess()                                                                     testStartScriptTaskProcess                                                                            test start script task process                                                                        test start script task process                      NN NN  15   
3635   void testGetTaskInstanceInfo()                                                                        testGetTaskInstanceInfo                                                                               test get task instance info                                                                           test get task instance info                         NN VB  15   
3636   void testTaskQuery()                                                                                  testTaskQuery                                                                                         test task query                                                                                       test task query                                     NN NN  15   
3637   void testRestWorkItem()                                                                               testRestWorkItem                                                                                      test rest work item                                                                                   test rest work item                                 NN NN  15   
3638   void testStartAndComplete()                                                                           testStartAndComplete                                                                                  test start and complete                                                                               test start and complete                             NN NN  15   
3639   void testErrorBoundaryEventRollback()                                                                 testErrorBoundaryEventRollback                                                                        test error boundary event rollback                                                                    test error boundary event rollback                  NN NN  15   
3640   java.util.List startAndCompleteHumanTask(java.lang.Long)                                              startAndCompleteHumanTask                                                                             start and complete human task                                                                         start and complete human task                       NN CC  557  
3641   void checkProcessInstanceIsActive(java.lang.Long)                                                     checkProcessInstanceIsActive                                                                          check process instance is active                                                                      check process instance be active                    NN NN  15   
3642   void testAbortProcessCommit()                                                                         testAbortProcessCommit                                                                                test abort process commit                                                                             test abort process commit                           NN NN  15   
3643   void testAbortProcessRollback()                                                                       testAbortProcessRollback                                                                              test abort process rollback                                                                           test abort process rollback                         NN NN  15   
3644   void testEmbedded()                                                                                   testEmbedded                                                                                          test embedded                                                                                         test embedded                                       NN JJ  15   
3645   void testForLoop()                                                                                    testForLoop                                                                                           test for loop                                                                                         test for loop                                       NN IN  15   
3646   void testRuleFlowGroup()                                                                              testRuleFlowGroup                                                                                     test rule flow group                                                                                  test rule flow group                                NN NN  15   
3647   void testScript()                                                                                     testScript                                                                                            test script                                                                                           test script                                         NN NN  15   
3648   void testStartProcessCommit()                                                                         testStartProcessCommit                                                                                test start process commit                                                                             test start process commit                           NN NN  15   
3649   void testStartProcessRollback()                                                                       testStartProcessRollback                                                                              test start process rollback                                                                           test start process rollback                         NN NN  15   
3650   void testTimer()                                                                                      testTimer                                                                                             test timer                                                                                            test timer                                          NN NN  15   
3651   org.kie.api.runtime.process.WorkItem getWorkItem()                                                    getWorkItem                                                                                           get work item                                                                                         get work item                                       VB VB  189  
3652   void runScenario(java.lang.String,java.util.Map,org.kie.api.runtime.KieSession)                       runScenario                                                                                           run scenario                                                                                          run scenario                                        NN NN  15   
3653   void startProcess(org.jbpm.test.container.archive.ejbtransactions.ProcessEJB)                         startProcess                                                                                          start process                                                                                         start process                                       VB NN  15   
3654   void testSTFBMT()                                                                                     testSTFBMT                                                                                            test stfbmt                                                                                           test stfbmt                                         NN NN  15   
3655   void testSTFCMT()                                                                                     testSTFCMT                                                                                            test stfcmt                                                                                           test stfcmt                                         NN NN  15   
3656   void testSTLBMT()                                                                                     testSTLBMT                                                                                            test stlbmt                                                                                           test stlbmt                                         NN NN  15   
3657   void testSTLCMT()                                                                                     testSTLCMT                                                                                            test stlcmt                                                                                           test stlcmt                                         NN NN  15   
3658   org.jbpm.test.container.test.Archive deployRestService()                                              deployRestService                                                                                     deploy rest service                                                                                   deploy rest service                                 VB NN  559  
3659   void testDelete()                                                                                     testDelete                                                                                            test delete                                                                                           test delete                                         NN VB  15   
3660   void testGet()                                                                                        testGet                                                                                               test get                                                                                              test get                                            NN VB  15   
3661   void testPost()                                                                                       testPost                                                                                              test post                                                                                             test post                                           NN NN  15   
3662   void testPut()                                                                                        testPut                                                                                               test put                                                                                              test put                                            NN VB  15   
3663   void testSecuredFail()                                                                                testSecuredFail                                                                                       test secured fail                                                                                     test secure fail                                    NN VB  15   
3664   void testSecuredGet()                                                                                 testSecuredGet                                                                                        test secured get                                                                                      test secure get                                     NN VB  15   
3665   javax.transaction.UserTransaction getUserTransaction()                                                getUserTransaction                                                                                    get user transaction                                                                                  get user transaction                                VB NN  168  
3666   org.jbpm.test.container.test.Archive deployLocalTransactions()                                        deployLocalTransactions                                                                               deploy local transactions                                                                             deploy local transaction                            VB JJ  559  
3667   org.kie.api.KieBase getKnowledgeBase()                                                                getKnowledgeBase                                                                                      get knowledge base                                                                                    get knowledge base                                  VB NN  187  
3668   void testForloop()                                                                                    testForloop                                                                                           test forloop                                                                                          test forloop                                        NN NN  15   
3669   void testRuleflowGroup()                                                                              testRuleflowGroup                                                                                     test ruleflow group                                                                                   test ruleflow group                                 NN NN  15   
3670   void testUsertask()                                                                                   testUsertask                                                                                          test usertask                                                                                         test usertask                                       NN NN  15   
3671   org.jbpm.test.container.test.Archive deployWebService()                                               deployWebService                                                                                      deploy web service                                                                                    deploy web service                                  VB NN  559  
3672   void testInterfaceNamePassedViaAssignemnt()                                                           testInterfaceNamePassedViaAssignemnt                                                                  test interface name passed via assignemnt                                                             test interface name pass via assignemnt             NN NN  15   
3673   void testMultipleImports()                                                                            testMultipleImports                                                                                   test multiple imports                                                                                 test multiple import                                NN JJ  15   
3674   void testWebServiceAsync()                                                                            testWebServiceAsync                                                                                   test web service async                                                                                test web service async                              NN NN  15   
3675   void testWebServiceOneWay()                                                                           testWebServiceOneWay                                                                                  test web service one way                                                                              test web service one way                            NN NN  15   
3676   void testWebServiceSync()                                                                             testWebServiceSync                                                                                    test web service sync                                                                                 test web service sync                               NN NN  15   
3677   java.lang.Object unmarshal(org.jbpm.document.marshalling.Context,java.io.ObjectInputStream,byte[],ja  unmarshal                                                                                             unmarshal                                                                                             unmarshal                                           JJ     2    
3678   java.lang.reflect.Array marshal(org.jbpm.document.marshalling.Context,java.io.ObjectOutputStream,jav  marshal                                                                                               marshal                                                                                               marshal                                             NN     5    
3679   org.jbpm.document.Document buildDocument(java.lang.String,long,java.util.Date,java.util.Map)          buildDocument                                                                                         build document                                                                                        build document                                      VB NN  561  
3680   org.jbpm.document.marshalling.Context createContext()                                                 createContext                                                                                         create context                                                                                        create context                                      VB NN  560  
3681   org.jbpm.document.service.DocumentStorageService getStorageService()                                  getStorageService                                                                                     get storage service                                                                                   get storage service                                 VB NN  562  
3682   org.jbpm.document.service.DocumentStorageServiceProvider get()                                        get                                                                                                   get                                                                                                   get                                                 VB     563  
3683   void discover()                                                                                       discover                                                                                              discover                                                                                              discover                                            VB     15   
3684   java.lang.String getAttribute(java.lang.String)                                                       getAttribute                                                                                          get attribute                                                                                         get attribute                                       VB NN  4    
3685   java.lang.String getLink()                                                                            getLink                                                                                               get link                                                                                              get link                                            VB NN  4    
3686   void addAttribute(java.lang.String,java.lang.String)                                                  addAttribute                                                                                          add attribute                                                                                         add attribute                                       VB NN  15   
3687   boolean deleteDocument(java.lang.String)                                                              deleteDocument                                                                                        delete document                                                                                       delete document                                     VB NN  1    
3688   boolean deleteDocument(org.jbpm.document.Document)                                                    deleteDocument                                                                                        delete document                                                                                       delete document                                     VB NN  1    
3689   boolean deleteFile(java.io.File)                                                                      deleteFile                                                                                            delete file                                                                                           delete file                                         VB NN  1    
3690   java.io.File getDocumentContent(org.jbpm.document.Document)                                           getDocumentContent                                                                                    get document content                                                                                  get document content                                VB NN  10   
3691   java.io.File getFileByPath(java.lang.String)                                                          getFileByPath                                                                                         get file by path                                                                                      get file by path                                    VB NN  10   
3692   java.lang.String generateUniquePath()                                                                 generateUniquePath                                                                                    generate unique path                                                                                  generate unique path                                VB JJ  4    
3693   java.util.List listDocuments(java.lang.Integer,java.lang.Integer)                                     listDocuments                                                                                         list documents                                                                                        list document                                       NN NN  564  
3694   org.jbpm.document.Document getDocument(java.lang.String)                                              getDocument                                                                                           get document                                                                                          get document                                        VB NN  561  
3695   org.jbpm.document.Document saveDocument(org.jbpm.document.Document,byte[])                            saveDocument                                                                                          save document                                                                                         save document                                       IN NN  561  
3696   java.lang.Iterable data()                                                                             data                                                                                                  data                                                                                                  datum                                               NNS    565  
3697   void cleanupOnce()                                                                                    cleanupOnce                                                                                           cleanup once                                                                                          cleanup once                                        NN RB  15   
3698   void deleteFolder(java.io.File)                                                                       deleteFolder                                                                                          delete folder                                                                                         delete folder                                       VB NN  15   
3699   void testListDocumentsLessThanPageSize()                                                              testListDocumentsLessThanPageSize                                                                     test list documents less than page size                                                               test list document less than page size              NN NN  15   
3700   void testSaveAndDeleteByIdDocument()                                                                  testSaveAndDeleteByIdDocument                                                                         test save and delete by id document                                                                   test save and delete by id document                 NN VB  15   
3701   void testSaveAndDeleteDocument()                                                                      testSaveAndDeleteDocument                                                                             test save and delete document                                                                         test save and delete document                       NN VB  15   
3702   void testSaveAndGetDocument()                                                                         testSaveAndGetDocument                                                                                test save and get document                                                                            test save and get document                          NN VB  15   
3703   void testSaveAndListDocuments()                                                                       testSaveAndListDocuments                                                                              test save and list documents                                                                          test save and list document                         NN VB  15   
3704   boolean acceptsTask(org.jbpm.examples.checklist.ChecklistItem)                                        acceptsTask                                                                                           accepts task                                                                                          accept task                                         VBZ N  1    
3705   java.lang.String fixedLength(java.lang.String,int)                                                    fixedLength                                                                                           fixed length                                                                                          fix length                                          VBN N  4    
3706   org.jbpm.examples.checklist.ChecklistItem findChecklistItem(java.util.List,java.lang.String)          findChecklistItem                                                                                     find checklist item                                                                                   find checklist item                                 VB JJ  566  
3707   boolean existsGroup(java.lang.String)                                                                 existsGroup                                                                                           exists group                                                                                          exist group                                         VBZ N  1    
3708   boolean existsUser(java.lang.String)                                                                  existsUser                                                                                            exists user                                                                                           exist user                                          VBZ N  1    
3709   java.util.List getGroupsForUser(java.lang.String,java.util.List,java.util.List)                       getGroupsForUser                                                                                      get groups for user                                                                                   get group for user                                  VB NN  38   
3710   void printChecklistItems(java.util.List,long)                                                         printChecklistItems                                                                                   print checklist items                                                                                 print checklist item                                NN NN  15   
3711   java.lang.String getActors(org.kie.api.task.model.Task)                                               getActors                                                                                             get actors                                                                                            get actor                                           VB NN  4    
3712   java.lang.String getText(java.util.List)                                                              getText                                                                                               get text                                                                                              get text                                            VB NN  4    
3713   java.util.Collection getLoggedChecklistItems(org.kie.api.definition.process.WorkflowProcess,java.uti  getLoggedChecklistItems                                                                               get logged checklist items                                                                            get log checklist item                              VB VB  570  
3714   java.util.Collection getPendingChecklistItems(org.kie.api.definition.process.WorkflowProcess)         getPendingChecklistItems                                                                              get pending checklist items                                                                           get pend checklist item                             VB VB  570  
3715   org.jbpm.examples.checklist.ChecklistItem createChecklistItem(java.lang.String,java.lang.String,java  createChecklistItem                                                                                   create checklist item                                                                                 create checklist item                               VB NN  566  
3716   org.jbpm.examples.checklist.ChecklistItem createChecklistItem(org.kie.api.task.model.Task)            createChecklistItem                                                                                   create checklist item                                                                                 create checklist item                               VB NN  566  
3717   org.jbpm.examples.checklist.ChecklistItem.Status getStatus(org.jbpm.examples.checklist.ChecklistItem  getStatus                                                                                             get status                                                                                            get status                                          VB NN  571  
3718   void getPendingChecklistItems(org.kie.api.definition.process.NodeContainer,java.util.List,java.lang.  getPendingChecklistItems                                                                              get pending checklist items                                                                           get pend checklist item                             VB VB  15   
3719   void getRelevantNodes(org.kie.api.definition.process.NodeContainer,java.util.Map)                     getRelevantNodes                                                                                      get relevant nodes                                                                                    get relevant node                                   VB JJ  15   
3720   java.lang.Long getSelectedProcessInstance()                                                           getSelectedProcessInstance                                                                            get selected process instance                                                                         get select process instance                         VB VB  174  
3721   java.lang.String getActorId()                                                                         getActorId                                                                                            get actor id                                                                                          get actor id                                        VB NN  4    
3722   org.jbpm.examples.checklist.ChecklistItem getSelectedItem()                                           getSelectedItem                                                                                       get selected item                                                                                     get select item                                     VB VB  566  
3723   void create()                                                                                         create                                                                                                create                                                                                                create                                              VB     15   
3724   void createNewItem()                                                                                  createNewItem                                                                                         create new item                                                                                       create new item                                     VB JJ  15   
3725   void keyPressed(java.awt.event.KeyEvent)                                                              keyPressed                                                                                            key pressed                                                                                           key press                                           JJ VB  15   
3726   void keyReleased(java.awt.event.KeyEvent)                                                             keyReleased                                                                                           key released                                                                                          key release                                         JJ VB  15   
3727   void keyTyped(java.awt.event.KeyEvent)                                                                keyTyped                                                                                              key typed                                                                                             key type                                            JJ VB  15   
3728   void valueChanged(javax.swing.event.ListSelectionEvent)                                               valueChanged                                                                                          value changed                                                                                         value change                                        NN VB  15   
3729   java.awt.Component getTableCellRendererComponent(javax.swing.JTable,java.lang.Object,boolean,boolean  getTableCellRendererComponent                                                                         get table cell renderer component                                                                     get table cell renderer component                   VB NN  574  
3730   void refresh()                                                                                        refresh                                                                                               refresh                                                                                               refresh                                             VB     15   
3731   void initializeComponent(java.lang.String)                                                            initializeComponent                                                                                   initialize component                                                                                  initialize component                                VB NN  15   
3732   int compare(org.jbpm.examples.checklist.ChecklistItem,org.jbpm.examples.checklist.ChecklistItem)      compare                                                                                               compare                                                                                               compare                                             VB     3    
3733   java.util.List getTasks(long)                                                                         getTasks                                                                                              get tasks                                                                                             get task                                            VB NN  567  
3734   java.util.List getTasks(long,java.util.List)                                                          getTasks                                                                                              get tasks                                                                                             get task                                            VB NN  567  
3735   long createContext(java.lang.String,java.lang.String)                                                 createContext                                                                                         create context                                                                                        create context                                      VB NN  20   
3736   org.jbpm.examples.checklist.ChecklistItem addTask(java.lang.String,java.lang.String[],java.lang.Stri  addTask                                                                                               add task                                                                                              add task                                            VB NN  566  
3737   org.kie.api.runtime.manager.RuntimeEngine getRuntime()                                                getRuntime                                                                                            get runtime                                                                                           get runtime                                         VB NN  577  
3738   void abortTask(java.lang.String,long)                                                                 abortTask                                                                                             abort task                                                                                            abort task                                          VB NN  15   
3739   void claimTask(java.lang.String,long)                                                                 claimTask                                                                                             claim task                                                                                            claim task                                          NN NN  15   
3740   void completeTask(java.lang.String,long)                                                              completeTask                                                                                          complete task                                                                                         complete task                                       JJ NN  15   
3741   void releaseTask(java.lang.String,long)                                                               releaseTask                                                                                           release task                                                                                          release task                                        NN NN  15   
3742   void selectOptionalTask(java.lang.String,long)                                                        selectOptionalTask                                                                                    select optional task                                                                                  select optional task                                JJ JJ  15   
3743   void setTaskDescription(org.kie.internal.task.api.model.InternalTask,java.lang.String)                setTaskDescription                                                                                    set task description                                                                                  set task description                                VBN N  15   
3744   void setTaskName(org.kie.internal.task.api.model.InternalTask,java.lang.String)                       setTaskName                                                                                           set task name                                                                                         set task name                                       VBN N  15   
3745   void setTaskPotentialOwners(org.kie.api.task.model.Task,java.util.List)                               setTaskPotentialOwners                                                                                set task potential owners                                                                             set task potential owner                            VBN N  15   
3746   void updateTaskDescription(long,java.lang.String)                                                     updateTaskDescription                                                                                 update task description                                                                               update task description                             VB NN  15   
