text                                                                              lemma                                                                             postag                                              data_type                                         
test deny all security manager                                                    test deny all security manager                                                    NN VB DT NN NN                                      void                                              
test no security manager                                                          test no security manager                                                          NN DT NN NN                                         void                                              
test creation of session in memory                                                test creation of session in memory                                                NN NN IN NN IN NN                                   void                                              
value of                                                                          value of                                                                          NN IN                                               Object                                            
test custom task from kjar                                                        test custom task from kjar                                                        NN NN NN IN NN                                      void                                              
test script task from classpath container                                         test script task from classpath container                                         NN NN NN IN JJ NN                                   void                                              
test script task from classpath container named kbase ksession                    test script task from classpath container name kbase ksession                     NN NN NN IN JJ NN VBN NN NN                         void                                              
test script task from kjar                                                        test script task from kjar                                                        NN NN NN IN NN                                      void                                              
test script task from kjar by name                                                test script task from kjar by name                                                NN NN NN IN NN IN NN                                void                                              
test script task from kjar by name named kbase ksession                           test script task from kjar by name name kbase ksession                            NN NN NN IN NN IN NN VBN NN NN                      void                                              
test script task from kjar using named kbase ksession                             test script task from kjar use name kbase ksession                                NN NN NN IN NN VBG VBN NN NN                        void                                              
test user task from kjar                                                          test user task from kjar                                                          NN NN NN IN NN                                      void                                              
test user task from kjar ppi                                                      test user task from kjar ppi                                                      NN NN NN IN NN NN                                   void                                              
test xs tream unmarshal custom object                                             test xs tream unmarshal custom object                                             NN NN NN JJ NN NN                                   void                                              
get task                                                                          get task                                                                          VB NN                                               TaskSummary                                       
assert migrated process instance                                                  assert migrate process instance                                                   VB VBD NN NN                                        void                                              
assert migrated task and complete                                                 assert migrate task and complete                                                  VB VBD NN CC JJ                                     void                                              
assert task and complete                                                          assert task and complete                                                          VB NN CC JJ                                         void                                              
create runtime managers                                                           create runtime manager                                                            VB NN NNS                                           void                                              
test add task after active                                                        test add task after active                                                        NN VB NN IN JJ                                      void                                              
test add task before active                                                       test add task before active                                                       NN VB NN IN JJ                                      void                                              
test migrate user task process instance                                           test migrate user task process instance                                           NN VB NN NN NN NN                                   void                                              
test migrate user task process instance with node mapping                         test migrate user task process instance with node mapping                         NN VB NN NN NN NN IN NN NN                          void                                              
test migrate user task process instance with rollback                             test migrate user task process instance with rollback                             NN VB NN NN NN NN IN NN                             void                                              
test remove active task                                                           test remove active task                                                           NN VB JJ NN                                         void                                              
test remove non active before active task                                         test remove non active before active task                                         NN VB JJ JJ IN JJ NN                                void                                              
test remove non active task                                                       test remove non active task                                                       NN VB JJ JJ NN                                      void                                              
test replace active task                                                          test replace active task                                                          NN VB JJ NN                                         void                                              
create environment                                                                create environment                                                                VB NN                                               RuntimeEnvironment                                
test multi instance callactivity complete at the same time                        test multus instance callactivity complete at the same time                       NN NNS NN NN JJ IN DT JJ NN                         void                                              
test per case multi instance callactivity complete at the same time               test per case multus instance callactivity complete at the same time              NN IN NN NNS NN NN JJ IN DT JJ NN                   void                                              
test per process instance multi instance callactivity complete at the same time   test per process instance multus instance callactivity complete at the same time  NN IN NN NN NNS NN NN JJ IN DT JJ NN                void                                              
test singleton multi instance callactivity complete at the same time              test singleton multus instance callactivity complete at the same time             NN NN NNS NN NN JJ IN DT JJ NN                      void                                              
test creation of session                                                          test creation of session                                                          NN NN IN NN                                         void                                              
test event signaling between processes with peristence                            test event signaling between process with peristence                              NN NN NN IN NNS IN NN                               void                                              
test execute reusable subprocess                                                  test execute reusable subprocess                                                  NN VB JJ NN                                         void                                              
test multiple processes in single case completed in sequence                      test multiple process in single case complete in sequence                         NN JJ NNS IN JJ NN VBN IN NN                        void                                              
test timer on per case manager                                                    test timer on per case manager                                                    NN NN IN IN NN NN                                   void                                              
test audit service not available                                                  test audit service not available                                                  NN NN NN RB JJ                                      void                                              
test creation of runtime manager within transaction                               test creation of runtime manager within transaction                               NN NN IN NN NN IN NN                                void                                              
produce entity manager factory                                                    produce entity manager factory                                                    VB NN NN NN                                         EntityManagerFactory                              
test creation of session custom task service factory                              test creation of session custom task service factory                              NN NN IN NN NN NN NN NN                             void                                              
test creation of session task service not configured                              test creation of session task service not configure                               NN NN IN NN NN NN RB VBN                            void                                              
test creation of session with custom task listener                                test creation of session with custom task listener                                NN NN IN NN IN NN NN NN                             void                                              
test creation of session with empty context                                       test creation of session with empty context                                       NN NN IN NN IN JJ NN                                void                                              
test creation of session with persistence                                         test creation of session with persistence                                         NN NN IN NN IN NN                                   void                                              
test creation of session with persistence and audit service                       test creation of session with persistence and audit service                       NN NN IN NN IN NN CC NN NN                          void                                              
test creation of session with persistence by correlation key                      test creation of session with persistence by correlation key                      NN NN IN NN IN NN IN NN NN                          void                                              
test dependent subprocess abort                                                   test dependent subprocess abort                                                   NN JJ NN NN                                         void                                              
test event signaling between processes                                            test event signaling between process                                              NN NN NN IN NNS                                     void                                              
test execute complete work item on invalid session with persistence               test execute complete work item on invalid session with persistence               NN VB JJ NN NN IN JJ NN IN NN                       void                                              
test independent subprocess abort                                                 test independent subprocess abort                                                 NN JJ JJ NN                                         void                                              
test multiple runtime engine within single transaction                            test multiple runtime engine within single transaction                            NN JJ NN NN IN JJ NN                                void                                              
test restore timers after manager close                                           test restore timer after manager close                                            NN VB NNS IN NN NN                                  void                                              
test reusable subprocess with wait for completion false                           test reusable subprocess with wait for completion false                           NN JJ NN IN NN IN NN JJ                             void                                              
test signal event via runtime manager                                             test signal event via runtime manager                                             NN NN NN IN NN NN                                   void                                              
test signal start multiple processes                                              test signal start multiple process                                                NN NN NN JJ NNS                                     void                                              
test start two process intances on same session                                   test start two process intance on same session                                    NN VB CD NN NNS IN JJ NN                            void                                              
test creation of session with peristence                                          test creation of session with peristence                                          NN NN IN NN IN NN                                   void                                              
test creation of session within transaction                                       test creation of session within transaction                                       NN NN IN NN IN NN                                   void                                              
test multiple per request manager from single thread                              test multiple per request manager from single thread                              NN JJ IN NN NN IN JJ NN                             void                                              
test nonexistent deployment id                                                    test nonexistent deployment id                                                    NN JJ NN NN                                         void                                              
test per process instance manager destory session                                 test per process instance manager destory session                                 NN IN NN NN NN NN NN                                void                                              
test per request manager destory session                                          test per request manager destory session                                          NN IN NN NN NN NN                                   void                                              
test per process instance runtime manager scope signal                            test per process instance runtime manager scope signal                            NN IN NN NN NN NN NN NN                             void                                              
test per request runtime manager scope signal                                     test per request runtime manager scope signal                                     NN IN NN NN NN NN NN                                void                                              
test signal event scoped to owning runtime manager                                test signal event scop to own runtime manager                                     NN NN NN VBD TO VBG NN NN                           void                                              
test singleton runtime manager scope signal                                       test singleton runtime manager scope signal                                       NN NN NN NN NN NN                                   void                                              
add asset csv xls replace config test                                             add asset csv xl replace config test                                              VB NN NN NNS VBP NN NN                              void                                              
add asset csv xls test                                                            add asset csv xl test                                                             VB NN NN NNS NN                                     void                                              
add asset xlsd table with own config test                                         add asset xlsd table with own config test                                         VB NN NN NN IN JJ NN NN                             void                                              
test business rule task with global                                               test business rule task with global                                               NN NN NN NN IN JJ                                   void                                              
test business rule task with rule aware listener                                  test business rule task with rule aware listener                                  NN NN NN NN IN NN JJ NN                             void                                              
test creation of duplicated managers                                              test creation of duplicated manager                                               NN NN IN JJ NNS                                     void                                              
test creation of multiple singleton manager with persistence                      test creation of multiple singleton manager with persistence                      NN NN IN JJ NN NN IN NN                             void                                              
test creation of session protected dispose                                        test creation of session protect dispose                                          NN NN IN NN VBD VB                                  void                                              
test interceptor after rollback                                                   test interceptor after rollback                                                   NN NN IN NN                                         void                                              
test re creation of session with persistence                                      test re creation of session with persistence                                      NN NN NN IN NN IN NN                                void                                              
date difference                                                                   date difference                                                                   NN NN                                               Boolean                                           
create output                                                                     create output                                                                     VB NN                                               Result                                            
check disposed session exception                                                  check disposed session exception                                                  VB JJ NN NN                                         void                                              
get schedule time                                                                 get schedule time                                                                 VB NN NN                                            Date                                              
trim to size                                                                      trim to size                                                                      JJ TO NN                                            void                                              
build job executor                                                                build job executor                                                                VB NN NN                                            AvailableJobsExecutor                             
build runable                                                                     build runable                                                                     VB JJ                                               ExecutorRunnable                                  
configure                                                                         configure                                                                         VB                                                  ExecutorService                                   
new executor service                                                              new executor service                                                              JJ NN NN                                            ExecutorService                                   
reset executor service                                                            reset executor service                                                            VB NN NN                                            void                                              
handle exception                                                                  handle exception                                                                  VB NN                                               boolean                                           
get class loader                                                                  get class loader                                                                  VB NN NN                                            ClassLoader                                       
add context data                                                                  add context datum                                                                 VB NN NNS                                           void                                              
execute given job                                                                 execute give job                                                                  VB VBN NN                                           void                                              
handle completion                                                                 handle completion                                                                 VB NN                                               void                                              
execute job                                                                       execute job                                                                       VB NN                                               void                                              
build command callback                                                            build command callback                                                            VB NN NN                                            1D Collection of CommandCallback                  
find command                                                                      find command                                                                      VB NN                                               Command                                           
find command callback                                                             find command callback                                                             VB NN NN                                            CommandCallback                                   
close instance                                                                    close instance                                                                    RB NN                                               void                                              
failed                                                                            fail                                                                              VBD                                                 boolean                                           
fire after job cancelled                                                          fire after job cancel                                                             NN IN NN VBN                                        void                                              
fire after job executed                                                           fire after job execute                                                            NN IN NN VBN                                        void                                              
fire after job scheduled                                                          fire after job schedule                                                           NN IN NN VBN                                        void                                              
fire before job cancelled                                                         fire before job cancel                                                            NN IN NN VBN                                        void                                              
fire before job executed                                                          fire before job execute                                                           NN IN NN VBN                                        void                                              
fire before job scheduled                                                         fire before job schedule                                                          NN IN NN VBN                                        void                                              
schedule request                                                                  schedule request                                                                  NN NN                                               Long                                              
cancel request                                                                    cancel request                                                                    VB NN                                               void                                              
clear all errors                                                                  clear all error                                                                   JJ DT NNS                                           int                                               
clear all requests                                                                clear all request                                                                 JJ DT NNS                                           int                                               
get interval                                                                      get interval                                                                      VB NN                                               int                                               
get retries                                                                       get retry                                                                         VB NNS                                              int                                               
get thread pool size                                                              get thread pool size                                                              VB NN NN NN                                         int                                               
get all errors                                                                    get all error                                                                     VB DT NNS                                           1D Collection of ErrorInfo                        
get all requests                                                                  get all request                                                                   VB DT NNS                                           1D Collection of RequestInfo                      
get async job listeners                                                           get async job listener                                                            VB JJ NN NNS                                        1D Collection of AsynchronousJobListener          
get cancelled requests                                                            get cancel request                                                                VB VBN NNS                                          1D Collection of RequestInfo                      
get completed requests                                                            get complete request                                                              VB VBN NNS                                          1D Collection of RequestInfo                      
get errors by request id                                                          get error by request id                                                           VB NNS IN NN NN                                     1D Collection of ErrorInfo                        
get future queued requests                                                        get future queue request                                                          VB JJ VBN NNS                                       1D Collection of RequestInfo                      
get in error requests                                                             get in error request                                                              VB IN NN NNS                                        1D Collection of RequestInfo                      
get pending request by id                                                         get pend request by id                                                            VB VBG NN IN NN                                     1D Collection of RequestInfo                      
get pending requests                                                              get pend request                                                                  VB VBG NNS                                          1D Collection of RequestInfo                      
get queued requests                                                               get queue request                                                                 VB VBN NNS                                          1D Collection of RequestInfo                      
get requests by business key                                                      get request by business key                                                       VB NNS IN NN NN                                     1D Collection of RequestInfo                      
get requests by command                                                           get request by command                                                            VB NNS IN NN                                        1D Collection of RequestInfo                      
get requests by status                                                            get request by status                                                             VB NNS IN NN                                        1D Collection of RequestInfo                      
get running requests                                                              get run request                                                                   VB VBG NNS                                          1D Collection of RequestInfo                      
get timeunit                                                                      get timeunit                                                                      VB NN                                               TimeUnit                                          
get event support                                                                 get event support                                                                 VB NN NN                                            ExecutorEventSupport                              
get request by id                                                                 get request by id                                                                 VB NN IN NN                                         RequestInfo                                       
add async job listener                                                            add async job listener                                                            VB NN NN NN                                         void                                              
remove async job listener                                                         remove async job listener                                                         VB NN NN NN                                         void                                              
requeue                                                                           requeue                                                                           NN                                                  void                                              
requeue by id                                                                     requeue by id                                                                     NN IN NN                                            void                                              
date                                                                              date                                                                              NN                                                  ErrorInfoDeleteBuilder                            
date range end                                                                    date range end                                                                    NN NN NN                                            ErrorInfoDeleteBuilder                            
date range start                                                                  date range start                                                                  NN NN NN                                            ErrorInfoDeleteBuilder                            
get result list                                                                   get result list                                                                   VB VB NN                                            1D Collection of ErrorInfo                        
build                                                                             build                                                                             VB                                                  1D Collection of ErrorInfo                        
ascending                                                                         ascend                                                                            VBG                                                 ErrorInfoQueryBuilder                             
descending                                                                        descend                                                                           VBG                                                 ErrorInfoQueryBuilder                             
id                                                                                id                                                                                NN                                                  ErrorInfoQueryBuilder                             
message                                                                           message                                                                           NN                                                  ErrorInfoQueryBuilder                             
stack trace regex                                                                 stack trace regex                                                                 VB NN NN                                            ErrorInfoQueryBuilder                             
time                                                                              time                                                                              NN                                                  ErrorInfoQueryBuilder                             
time range                                                                        time range                                                                        NN NN                                               ErrorInfoQueryBuilder                             
error info log delete builder                                                     error info log delete builder                                                     NN NN NN VB NN                                      ErrorInfoDeleteBuilder                            
error info query builder                                                          error info query builder                                                          NN NN NN NN                                         ErrorInfoQueryBuilder                             
request info log delete builder                                                   request info log delete builder                                                   NN NN NN VB NN                                      RequestInfoLogDeleteBuilder                       
request info query builder                                                        request info query builder                                                        NN NN NN NN                                         RequestInfoQueryBuilder                           
execute                                                                           execute                                                                           VB                                                  RequestInfo                                       
get request by business key                                                       get request by business key                                                       VB NN IN NN NN                                      1D Collection of RequestInfo                      
get request by command                                                            get request by command                                                            VB NN IN NN                                         1D Collection of RequestInfo                      
get request for processing                                                        get request for processing                                                        VB NN IN NN                                         RequestInfo                                       
max running time exceeded                                                         max run time exceed                                                               NN VBG NN VBD                                       boolean                                           
build executor runnable                                                           build executor runnable                                                           VB NN JJ                                            Runnable                                          
find error                                                                        find error                                                                        VB NN                                               ErrorInfo                                         
remove error                                                                      remove error                                                                      VB NN                                               ErrorInfo                                         
find request                                                                      find request                                                                      VB NN                                               RequestInfo                                       
remove request                                                                    remove request                                                                    VB NN                                               RequestInfo                                       
persist error                                                                     persist error                                                                     VB NN                                               void                                              
persist request                                                                   persist request                                                                   VB NN                                               void                                              
update error                                                                      update error                                                                      VB NN                                               void                                              
update request                                                                    update request                                                                    VB NN                                               void                                              
date                                                                              date                                                                              NN                                                  RequestInfoLogDeleteBuilder                       
date range end                                                                    date range end                                                                    NN NN NN                                            RequestInfoLogDeleteBuilder                       
date range start                                                                  date range start                                                                  NN NN NN                                            RequestInfoLogDeleteBuilder                       
deployment id                                                                     deployment id                                                                     NN NN                                               RequestInfoLogDeleteBuilder                       
status                                                                            status                                                                            NN                                                  RequestInfoLogDeleteBuilder                       
